,username,tweets,similarity,mentioned,class
329,netizcen,1,1,0,negative
330,ngacirosl,1,1,0,negative
331,noerkhamid905g1,1,1,8,negative
332,nuariarlinda,1,1,0,negative
333,nurshanti_kamal,1,1,1,negative
334,oborsumbar,1,1,1,negative
335,odriseva,11,0.476361131362561,227,negative
336,okaci5,1,1,0,negative
337,okkysurya3,1,1,0,negative
338,oposisi74,7,0.806106734743506,161,negative
339,oppositesurau,1,1,0,negative
340,orangkoslet,5,0.441603234726223,53,negative
341,orchid30327847,10,0.543530267533872,130,negative
342,ozzyosborn18,1,1,0,negative
343,paijo_ngantuk,3,0.61814519150747,15,negative
344,pal_whatever,1,1,0,negative
345,panglima_minal,48,0.353075951502464,144,negative
346,papaagung5,1,1,1,negative
347,parisk22,2,0.601273936708367,0,negative
348,pedagangbiasa1,3,0.791248994744738,42,negative
349,pedagangsukses1,9,0.67923953468482,352,negative
350,pejuang_subuh09,1,1,0,negative
351,pepeppermana,2,0.676776695296637,3,negative
352,pion_praponco,2,1,28,negative
353,pmy78987,2,0.764575131106459,0,positive
354,ppongieee,2,1,0,negative
355,punakawanstyle,1,1,0,negative
356,putry_tunggal95,3,0.610612265749654,150,negative
357,q8een_,2,0.865148371670111,2,negative
358,qkhalita,4,0.736052101883813,20,negative
359,ql0__olp,1,1,0,negative
360,quinna20202,3,0.911111111111111,3,negative
361,quinnanew,11,0.768343511728229,7,negative
362,rakhmadirawan7,58,0.677858769087373,88,negative
363,randy25128145,1,1,8,negative
364,ratnasiregars,1,1,1,negative
365,ratu12noer,5,0.592346309822981,0,negative
366,rendichia90,1,1,1,negative
367,restutu13,1,1,0,negative
368,rhslh88,6,0.676319995998005,30,negative
369,riahaidarhail,2,0.908248290463863,0,negative
370,rianisintaa,3,0.950888524441476,0,negative
371,richardahmad11,1,1,14,negative
372,rikiarya757,1,1,0,negative
373,rikojbi,2,0.853553390593274,2,negative
374,rimahawina,1,1,0,negative
375,rinauuyy,1,1,0,negative
376,rizqyfawzyadib,1,1,3,negative
377,rntotquf29,1,1,0,negative
378,rofi_27,1,1,0,negative
379,rofiah53647587,3,0.716609971420353,0,negative
380,rokokgulunk,1,1,0,negative
381,rossali24295306,3,1,3,negative
382,rostiniibrahim1,1,1,0,negative
383,rrawr22,1,1,3,negative
384,rubkaryo323,1,1,1,negative
385,sangk4k4l4,1,1,0,negative
386,sdrn7129,1,1,0,negative
387,seanc37866888,61,0.419566800134033,956,1
388,sebastian_1702g,1,1,50,negative
389,sejarawan,1,1,0,negative
390,sekeping_h4t1,2,0.631812432549124,13,negative
391,sensus_888,1,1,1,negative
392,sepasangkaki15,36,0.288779754313803,80,negative
393,setankhober,1,1,0,negative
394,setenangmalam,1,1,0,negative
395,setioko,1,1,0,negative
396,sgpendosa,1,1,0,negative
397,si_sipong,1,1,0,negative
398,siajapul,8,0.36190748710244,0,negative
399,sidoelmalikmare,1,1,1,negative
400,sitipatimahaja,3,0.911111111111111,3,negative
401,sitorro69,1,1,0,negative
402,sky77official,1,1,0,negative
403,sobirhin1,1,1,0,negative
404,srirahayu1612,7,0.664896573936886,81,negative
405,sugikawuloalit,5,0.300979497456975,13,negative
406,sulistyopra259,1,1,0,negative
407,sumarto35152809,1,1,0,negative
408,syafruliroel,1,1,0,negative
409,syahkola1,1,1,14,negative
410,syalwa_m,1,1,0,negative
411,syareef92450772,28,1,255,negative
412,syarif_sf7,1,1,1,negative
413,tarida_indah,3,0.739680371228643,8,negative
414,tatoxudin,1,1,0,negative
415,taurusadalahaku,1,1,1,negative
416,tehkotak_1,1,1,0,negative
417,tehtarik_mantap,8,0.601546951290473,24,negative
418,teriwinarno1,10,0.462847147163692,446,negative
419,there91194264,60,0.447370017627517,2460,1
420,thobinkt,1,1,0,negative
421,tiatiqlian,1,1,1,negative
422,tokozet,8,0.765135512299349,0,negative
423,tonoblk,1,1,2,negative
424,towew16,1,1,0,negative
425,trie69248827,1,1,0,negative
426,tugi_saputra,2,0.908248290463863,2,negative
427,tunkuadam99,1,1,0,negative
428,uchlim_,2,0.658113883008419,0,negative
429,ulamaaswaja,8,0.318353741737645,4,negative
430,ulamapembela,1,1,1,negative
431,ullul4343,1,1,45,negative
432,ully_alattas,1,1,1,negative
433,umar_agil,1,1,9,negative
434,ungip,1,1,0,negative
435,utiah_mak,1,1,0,negative
436,vay43078800,1,1,0,negative
437,wahiidin,1,1,0,positive
438,wakuban15,1,1,0,negative
439,wangsaindria,1,1,0,negative
440,wanitadesapena1,47,0.409719303539442,360,negative
441,what_it_take,1,1,0,negative
442,widdya_rf,1,1,0,negative
443,widog798,3,1,1,negative
444,wiwin_dilevo,3,0.65459208733016,5,negative
445,yandrad31,1,1,9,negative
446,yang_moelia,55,0.310094887424449,625,1
447,yangmoelia_cs,17,0.49981010469533,37,negative
448,ybab_syddad,2,0.952910813657838,0,positive
449,yded5758,18,0.731809789985611,53,negative
450,yogibudiharto,1,1,0,negative
451,yomnorman,4,0.557290513501588,16,negative
452,yuliereborn,1,1,1,negative
453,yusli53117720,2,0.731125081760512,3,negative
454,zarnaout45,1,1,1,negative
455,zulham04007888,1,1,0,negative
456,zulhamkenzo,1,1,2,negative
