,username,tweets,similarity,mentioned,class
235,jerry_huniam,1,1.0000000000000002,0,1
236,jetlee43452611,1,1.0000000000000002,0,1
237,jihad_sanusi,1,1.0,2,1
238,joejosef14,1,1.0,0,1
239,johnwil13795256,1,1.0,0,1
240,jthionardo,2,0.9467135561824146,2,1
241,julian51758164,9,0.7517758085053361,45,1
242,jumaroh34,1,1.0,0,1
243,justafucker2,1,1.0,0,1
244,kahfiewaksa,8,0.33041806352557856,1,1
245,kamajaya12,1,1.0,0,1
246,kangaco_11,5,0.3031932805796705,0,1
247,kangbob33,1,1.0000000000000002,0,1
248,kangdarja,3,0.5578036765280999,17,1
249,kapal4d1,2,0.6773248414037977,0,1
250,karyawantree,1,1.0000000000000002,18,1
251,keithrizal161,5,0.8656949578688709,10,1
252,kem_plang,1,0.9999999999999998,0,1
253,kembangturi881,1,1.0,0,1
254,kemplengmbolo,1,1.0,0,1
255,kertaningnaga,1,1.0000000000000002,13,1
256,khandzac,1,1.0,0,1
257,khoirul20950418,4,0.7927050983124843,0,1
258,kienoi,1,1.0,1,1
259,kmlupa,4,1.0,0,1
260,knmaneges,1,1.0,0,1
261,knotinfo1,1,1.0,2,1
262,kobou17,1,1.0,0,1
263,koemboeak,1,0.9999999999999999,0,1
264,koncola68197806,1,1.0000000000000002,8,1
265,kontenislam_com,2,0.538575837490523,0,1
267,kttexnx,1,1.0000000000000002,0,1
268,kucing920,1,0.9999999999999999,0,1
269,kulidollareuro,5,0.6616153604163166,2,1
270,kusband92010867,1,0.9999999999999998,0,1
271,kusnocahlanang,1,1.0,0,1
272,labure5,7,0.49779887092032243,0,1
273,lafuanlnaufal,1,0.9999999999999998,1,1
274,lagi__malas,4,0.4710413710268076,2,1
275,langdoneh,1,1.0000000000000002,0,1
276,ljempalitan,1,0.9999999999999998,0,1
277,lkmnokterman,7,0.5910325902435961,15,1
278,lollynadh,1,1.0000000000000002,0,1
279,lurahtanpowargo,1,1.0,0,1
280,lutfizainalm,1,0.9999999999999998,0,1
281,lynsora1,1,0.9999999999999999,0,1
282,m45bro____,2,0.8162277660168378,31,1
283,madsaleh121,1,0.9999999999999998,1,1
284,maksimusramses,1,1.0,0,1
285,malcolmxsurau,2,0.5207613699634349,0,1
287,martanazari2,1,1.0,0,1
288,marthaaprilia20,3,1.0,3,1
289,mas_al90,1,0.9999999999999999,0,1
290,masykur21280228,1,1.0,0,1
291,masykur62332426,3,0.47988120328106004,0,1
292,maulana00454021,1,1.0,14,1
293,maulana050317,1,1.0000000000000002,0,1
294,mawarsolitaire,6,0.40444282529821063,151,1
295,maxaksi,1,1.0000000000000002,2,1
296,mazbaguzs,1,1.0,0,1
297,mbahurekso1796,1,0.9999999999999998,0,1
298,mdy_asmara1701,2,0.6677050983124841,0,1
299,mediarakyat4,2,0.5857492925712544,1,1
300,meinstal,1,1.0,0,1
301,melati152,6,0.588402574854892,7,1
302,membalas_pesan,1,1.0,0,1
303,merdekja,2,1.0000000000000002,0,1
304,merveskinofc,1,1.0000000000000002,0,1
305,mey1mey1,1,1.0,1,1
306,mghanafia,9,0.8932475336463015,16,1
307,miftakhurozi,1,1.0,0,1
308,mikailov312,2,0.7499999999999998,0,1
309,mimansulaiman,1,1.0,0,1
310,mimiekirana1708,2,0.8535533905932737,14,1
311,mmargani5,1,0.9999999999999999,1,1
312,mofirzal,1,1.0,0,1
313,mohamma43717442,1,1.0,0,1
314,mohtahid,20,0.5856567774923652,295,1
315,mridwanely1,2,0.7236067977499789,14,1
316,msdesyy,1,0.9999999999999998,0,1
317,msyaefiddins,1,1.0000000000000002,0,1
318,mudjibur_rohman,1,0.9999999999999998,0,1
319,muhammadrialdy4,1,1.0,0,1
320,muhammadwawans2,1,0.9999999999999998,0,1
321,muhtadin_i,16,0.3996964241184453,0,1
322,mukhamadrozali,2,0.5540738070435874,0,1
323,mundirunkurnia1,1,0.9999999999999998,1,1
324,nafaradesign,2,0.8162277660168378,0,1
325,nasionalxpos,1,1.0,0,1
326,nbettercount,16,0.4127394759859016,133,1
327,nenek27,3,0.7406212353308098,5,1
328,nenxseesree,1,1.0,18,1
329,netizcen,1,0.9999999999999998,0,1
330,ngacirosl,1,1.0000000000000002,0,1
331,noerkhamid905g1,1,1.0,8,1
332,nuariarlinda,1,1.0000000000000002,0,1
333,nurshanti_kamal,1,1.0000000000000002,1,1
334,oborsumbar,1,1.0,1,1
335,odriseva,11,0.47636113136256136,227,1
336,okaci5,1,1.0000000000000002,0,1
337,okkysurya3,1,1.0,0,1
338,oposisi74,7,0.8061067347435059,161,1
339,oppositesurau,1,1.0,0,1
340,orangkoslet,5,0.441603234726223,53,1
341,orchid30327847,10,0.5435302675338725,130,1
342,ozzyosborn18,1,0.9999999999999999,0,1
343,paijo_ngantuk,3,0.6181451915074699,15,1
344,pal_whatever,1,0.9999999999999999,0,1
346,papaagung5,1,1.0000000000000002,1,1
347,parisk22,2,0.6012739367083667,0,1
348,pedagangbiasa1,3,0.7912489947447384,42,1
349,pedagangsukses1,9,0.6792395346848201,352,1
350,pejuang_subuh09,1,0.9999999999999998,0,1
351,pepeppermana,2,0.6767766952966368,3,1
352,pion_praponco,2,1.0,28,1
353,pmy78987,2,0.764575131106459,0,1
354,ppongieee,2,1.0,0,1
355,punakawanstyle,1,0.9999999999999998,0,1
356,putry_tunggal95,3,0.610612265749654,150,1
357,q8een_,2,0.8651483716701107,2,1
358,qkhalita,4,0.7360521018838126,20,1
359,ql0__olp,1,0.9999999999999998,0,1
360,quinna20202,3,0.911111111111111,3,1
361,quinnanew,11,0.7683435117282289,7,1
363,randy25128145,1,0.9999999999999998,8,1
364,ratnasiregars,1,1.0,1,1
365,ratu12noer,5,0.5923463098229811,0,1
366,rendichia90,1,1.0000000000000002,1,1
367,restutu13,1,1.0,0,1
368,rhslh88,6,0.6763199959980049,30,1
369,riahaidarhail,2,0.9082482904638631,0,1
370,rianisintaa,3,0.9508885244414761,0,1
371,richardahmad11,1,1.0000000000000002,14,1
372,rikiarya757,1,1.0000000000000002,0,1
373,rikojbi,2,0.8535533905932737,2,1
374,rimahawina,1,1.0,0,1
375,rinauuyy,1,0.9999999999999999,0,1
376,rizqyfawzyadib,1,1.0000000000000002,3,1
377,rntotquf29,1,1.0000000000000002,0,1
378,rofi_27,1,1.0000000000000002,0,1
379,rofiah53647587,3,0.7166099714203531,0,1
380,rokokgulunk,1,1.0000000000000002,0,1
381,rossali24295306,3,1.0,3,1
382,rostiniibrahim1,1,1.0,0,1
383,rrawr22,1,0.9999999999999998,3,1
384,rubkaryo323,1,1.0,1,1
385,sangk4k4l4,1,0.9999999999999998,0,1
386,sdrn7129,1,0.9999999999999998,0,1
388,sebastian_1702g,1,0.9999999999999998,50,1
389,sejarawan,1,1.0,0,1
390,sekeping_h4t1,2,0.6318124325491241,13,1
391,sensus_888,1,0.9999999999999998,1,1
393,setankhober,1,1.0000000000000002,0,1
394,setenangmalam,1,1.0000000000000002,0,1
395,setioko,1,1.0,0,1
396,sgpendosa,1,1.0,0,1
397,si_sipong,1,1.0000000000000002,0,1
398,siajapul,8,0.36190748710244036,0,1
399,sidoelmalikmare,1,1.0,1,1
400,sitipatimahaja,3,0.911111111111111,3,1
401,sitorro69,1,1.0,0,1
402,sky77official,1,1.0000000000000002,0,1
403,sobirhin1,1,1.0,0,1
404,srirahayu1612,7,0.664896573936886,81,1
405,sugikawuloalit,5,0.3009794974569746,13,1
406,sulistyopra259,1,1.0,0,1
407,sumarto35152809,1,0.9999999999999999,0,1
408,syafruliroel,1,1.0,0,1
409,syahkola1,1,0.9999999999999998,14,1
410,syalwa_m,1,1.0,0,1
411,syareef92450772,28,0.9999999999999999,255,1
412,syarif_sf7,1,1.0000000000000002,1,1
413,tarida_indah,3,0.7396803712286427,8,1
414,tatoxudin,1,1.0,0,1
415,taurusadalahaku,1,1.0,1,1
416,tehkotak_1,1,1.0000000000000002,0,1
417,tehtarik_mantap,8,0.6015469512904734,24,1
420,thobinkt,1,1.0,0,1
421,tiatiqlian,1,1.0,1,1
422,tokozet,8,0.7651355122993492,0,1
